날짜,순위,제목,가수
2023-07-19,1,Super Shy,NewJeans
2023-07-19,2,Seven (feat. Latto) - Clean Ver.,정국
2023-07-19,3,New Jeans,NewJeans
2023-07-19,4,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2023-07-19,5,I AM,IVE (아이브)
2023-07-19,6,퀸카 (Queencard),(여자)아이들
2023-07-19,7,헤어지자 말해요,박재정
2023-07-19,8,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
2023-07-19,9,Spicy,aespa
2023-07-19,10,Hype Boy,NewJeans
2023-07-19,11,Kitsch,IVE (아이브)
2023-07-19,12,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
2023-07-19,13,Ditto,NewJeans
2023-07-19,14,Attention,NewJeans
2023-07-19,15,Seven (feat. Latto) - Explicit Ver.,정국
2023-07-19,16,손오공,세븐틴(SEVENTEEN)
2023-07-19,17,OMG,NewJeans
2023-07-19,18,HARD,SHINee (샤이니)
2023-07-19,19,After LIKE,IVE (아이브)
2023-07-19,20,ISTJ,NCT DREAM
2023-07-19,21,Cupid,FIFTY FIFTY
2023-07-19,22,LOVE DIVE,IVE (아이브)
2023-07-19,23,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
2023-07-19,24,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2023-07-19,25,Dangerously,Charlie Puth(찰리 푸스)
2023-07-19,26,사건의 지평선,윤하(Younha/ユンナ)
2023-07-19,27,Underwater,권은비
2023-07-19,28,꽃,지수(JISOO)
2023-07-19,29,Roller Coaster,NMIXX
2023-07-19,30,Thirsty,aespa
2023-07-19,31,한 페이지가 될 수 있게,DAY6 (데이식스)
2023-07-19,32,Teddy Bear,STAYC(스테이씨)
2023-07-19,33,예뻤어 (여름날 우리 X 김민석 (멜로망스)),김민석 (멜로망스)
2023-07-19,34,SOS,강다니엘(KANG DANIEL)
2023-07-19,35,ANTIFRAGILE,LE SSERAFIM (르세라핌)
2023-07-19,36,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
2023-07-19,37,KNOCK,이채연
2023-07-19,38,When I Get Old,Christopher(크리스토퍼)
2023-07-19,39,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
2023-07-19,40,사랑인가 봐,멜로망스(MeloMance)
2023-07-19,41,Allergy,(여자)아이들
2023-07-19,42,심(心),DK(디셈버)
2023-07-19,43,주저하는 연인들을 위해,잔나비
2023-07-19,44,Summer (Feat. BE’O (비오)),Paul Blanco
2023-07-19,45,여름날 (feat. 하현상),볼빨간사춘기
2023-07-19,46,Cream Soda,EXO
2023-07-19,47,오르트구름,윤하(Younha/ユンナ)
2023-07-19,48,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
2023-07-19,49,That's Hilarious,Charlie Puth(찰리 푸스)
2023-07-19,50,잠깐 시간 될까,이무진
2023-07-19,51,Shut Down,BLACKPINK
2023-07-19,52,너의 모든 순간,성시경
2023-07-19,53,STAY,The Kid LAROI
2023-07-19,54,빛이 나는 너에게,던 (DAWN)
2023-07-19,55,ELEVEN,IVE (아이브)
2023-07-19,56,특,Stray Kids (스트레이 키즈)
2023-07-19,57,그라데이션,10CM
2023-07-19,58,FEARLESS,LE SSERAFIM (르세라핌)
2023-07-19,59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2023-07-19,60,TOMBOY,(여자)아이들
2023-07-19,61,Cookie,NewJeans
2023-07-19,62,Love Me Like This,NMIXX
2023-07-19,63,Candy,NCT DREAM
2023-07-19,64,Still With You,정국
2023-07-19,65,사실말야내가말야그게그러니까말이야,케이시
2023-07-19,66,INVU,태연 (TAEYEON)
2023-07-19,67,Off My Face,Justin Bieber(저스틴 비버)
2023-07-19,68,취중고백,김민석 (멜로망스)
2023-07-19,69,다정히 내 이름을 부르면,경서예지
2023-07-19,70,Pink Venom,BLACKPINK
2023-07-19,71,찬란한 하루,멜로망스(MeloMance)
2023-07-19,72,Monologue,테이(Tei)
2023-07-19,73,Broken Melodies,NCT DREAM
2023-07-19,74,사랑은 늘 도망가,임영웅
2023-07-19,75,나의 바람 (Wind And Wish),비투비
2023-07-19,76,나의 X에게,경서
2023-07-19,77,Dynamite,방탄소년단
2023-07-19,78,물론,허각
2023-07-19,79,나에게 그대만이,탑현
2023-07-19,80,Nxde,(여자)아이들
2023-07-19,81,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
2023-07-19,82,Heaven(2023),임재현
2023-07-19,83,해요 (2022),#안녕
2023-07-19,84,사랑의 바보,제이세라(J-Cera)
2023-07-19,85,도깨비불 (Illusion),aespa
2023-07-19,86,부동의 첫사랑,10CM
2023-07-19,87,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2023-07-19,88,한강에서 (Feat. BIG Naughty),폴킴(Paul Kim)
2023-07-19,89,WHEN I MOVE,카라(Kara)
2023-07-19,90,Salty & Sweet,aespa
2023-07-19,91,드라마,아이유(IU)
2023-07-19,92,Feel My Rhythm,Red Velvet (레드벨벳)
2023-07-19,93,CHRISTIAN,지올팍(Zior Park)
2023-07-19,94,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
2023-07-19,95,파랑 (Blue Wave),NCT DREAM
2023-07-19,96,strawberry moon,아이유(IU)
2023-07-19,97,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
2023-07-19,98,Say I Love You,우디(Woody)
2023-07-19,99,1994년 어느 늦은 밤,조현아 (어반자카파)
2023-07-19,100,Yogurt Shake,NCT DREAM
2023-07-20,1,Super Shy,NewJeans
2023-07-20,2,Seven (feat. Latto) - Clean Ver.,정국
2023-07-20,3,New Jeans,NewJeans
2023-07-20,4,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2023-07-20,5,I AM,IVE (아이브)
2023-07-20,6,퀸카 (Queencard),(여자)아이들
2023-07-20,7,헤어지자 말해요,박재정
2023-07-20,8,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
2023-07-20,9,Spicy,aespa
2023-07-20,10,Hype Boy,NewJeans
2023-07-20,11,Kitsch,IVE (아이브)
2023-07-20,12,Ditto,NewJeans
2023-07-20,13,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
2023-07-20,14,Attention,NewJeans
2023-07-20,15,Seven (feat. Latto) - Explicit Ver.,정국
2023-07-20,16,손오공,세븐틴(SEVENTEEN)
2023-07-20,17,OMG,NewJeans
2023-07-20,18,After LIKE,IVE (아이브)
2023-07-20,19,HARD,SHINee (샤이니)
2023-07-20,20,LOVE DIVE,IVE (아이브)
2023-07-20,21,Cupid,FIFTY FIFTY
2023-07-20,22,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2023-07-20,23,Underwater,권은비
2023-07-20,24,Dangerously,Charlie Puth(찰리 푸스)
2023-07-20,25,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
2023-07-20,26,사건의 지평선,윤하(Younha/ユンナ)
2023-07-20,27,ISTJ,NCT DREAM
2023-07-20,28,꽃,지수(JISOO)
2023-07-20,29,한 페이지가 될 수 있게,DAY6 (데이식스)
2023-07-20,30,Thirsty,aespa
2023-07-20,31,Roller Coaster,NMIXX
2023-07-20,32,ANTIFRAGILE,LE SSERAFIM (르세라핌)
2023-07-20,33,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
2023-07-20,34,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
2023-07-20,35,예뻤어 (여름날 우리 X 김민석 (멜로망스)),김민석 (멜로망스)
2023-07-20,36,Teddy Bear,STAYC(스테이씨)
2023-07-20,37,KNOCK,이채연
2023-07-20,38,SOS,강다니엘(KANG DANIEL)
2023-07-20,39,When I Get Old,Christopher(크리스토퍼)
2023-07-20,40,Summer (Feat. BE’O (비오)),Paul Blanco
2023-07-20,41,Allergy,(여자)아이들
2023-07-20,42,사랑인가 봐,멜로망스(MeloMance)
2023-07-20,43,심(心),DK(디셈버)
2023-07-20,44,여름날 (feat. 하현상),볼빨간사춘기
2023-07-20,45,주저하는 연인들을 위해,잔나비
2023-07-20,46,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
2023-07-20,47,잠깐 시간 될까,이무진
2023-07-20,48,오르트구름,윤하(Younha/ユンナ)
2023-07-20,49,That's Hilarious,Charlie Puth(찰리 푸스)
2023-07-20,50,너의 모든 순간,성시경
2023-07-20,51,Cream Soda,EXO
2023-07-20,52,STAY,The Kid LAROI
2023-07-20,53,ELEVEN,IVE (아이브)
2023-07-20,54,TOMBOY,(여자)아이들
2023-07-20,55,Shut Down,BLACKPINK
2023-07-20,56,Cookie,NewJeans
2023-07-20,57,Love Me Like This,NMIXX
2023-07-20,58,빛이 나는 너에게,던 (DAWN)
2023-07-20,59,그라데이션,10CM
2023-07-20,60,다정히 내 이름을 부르면,경서예지
2023-07-20,61,INVU,태연 (TAEYEON)
2023-07-20,62,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2023-07-20,63,FEARLESS,LE SSERAFIM (르세라핌)
2023-07-20,64,특,Stray Kids (스트레이 키즈)
2023-07-20,65,취중고백,김민석 (멜로망스)
2023-07-20,66,Candy,NCT DREAM
2023-07-20,67,Off My Face,Justin Bieber(저스틴 비버)
2023-07-20,68,사실말야내가말야그게그러니까말이야,케이시
2023-07-20,69,Pink Venom,BLACKPINK
2023-07-20,70,Still With You,정국
2023-07-20,71,찬란한 하루,멜로망스(MeloMance)
2023-07-20,72,Monologue,테이(Tei)
2023-07-20,73,Dynamite,방탄소년단
2023-07-20,74,Nxde,(여자)아이들
2023-07-20,75,나의 X에게,경서
2023-07-20,76,나에게 그대만이,탑현
2023-07-20,77,나의 바람 (Wind And Wish),비투비
2023-07-20,78,사랑은 늘 도망가,임영웅
2023-07-20,79,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2023-07-20,80,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
2023-07-20,81,Broken Melodies,NCT DREAM
2023-07-20,82,도깨비불 (Illusion),aespa
2023-07-20,83,해요 (2022),#안녕
2023-07-20,84,물론,허각
2023-07-20,85,Salty & Sweet,aespa
2023-07-20,86,부동의 첫사랑,10CM
2023-07-20,87,한강에서 (Feat. BIG Naughty),폴킴(Paul Kim)
2023-07-20,88,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
2023-07-20,89,Heaven(2023),임재현
2023-07-20,90,사랑의 바보,제이세라(J-Cera)
2023-07-20,91,WHEN I MOVE,카라(Kara)
2023-07-20,92,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
2023-07-20,93,Feel My Rhythm,Red Velvet (레드벨벳)
2023-07-20,94,드라마,아이유(IU)
2023-07-20,95,CHRISTIAN,지올팍(Zior Park)
2023-07-20,96,strawberry moon,아이유(IU)
2023-07-20,97,사막에서 꽃을 피우듯,우디(Woody)
2023-07-20,98,Say I Love You,우디(Woody)
2023-07-20,99,VIBE (feat. Jimin of BTS),태양
2023-07-20,100,파랑 (Blue Wave),NCT DREAM
2023-07-21,1,Super Shy,NewJeans
2023-07-21,2,ETA,NewJeans
2023-07-21,3,New Jeans,NewJeans
2023-07-21,4,Cool With You,NewJeans
2023-07-21,5,Seven (feat. Latto) - Clean Ver.,정국
2023-07-21,6,ASAP,NewJeans
2023-07-21,7,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2023-07-21,8,I AM,IVE (아이브)
2023-07-21,9,퀸카 (Queencard),(여자)아이들
2023-07-21,10,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
2023-07-21,11,헤어지자 말해요,박재정
2023-07-21,12,Spicy,aespa
2023-07-21,13,Hype Boy,NewJeans
2023-07-21,14,Kitsch,IVE (아이브)
2023-07-21,15,Ditto,NewJeans
2023-07-21,16,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
2023-07-21,17,Attention,NewJeans
2023-07-21,18,손오공,세븐틴(SEVENTEEN)
2023-07-21,19,OMG,NewJeans
2023-07-21,20,After LIKE,IVE (아이브)
2023-07-21,21,Seven (feat. Latto) - Explicit Ver.,정국
2023-07-21,22,Cupid,FIFTY FIFTY
2023-07-21,23,LOVE DIVE,IVE (아이브)
2023-07-21,24,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2023-07-21,25,사건의 지평선,윤하(Younha/ユンナ)
2023-07-21,26,HARD,SHINee (샤이니)
2023-07-21,27,Dangerously,Charlie Puth(찰리 푸스)
2023-07-21,28,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
2023-07-21,29,Underwater,권은비
2023-07-21,30,꽃,지수(JISOO)
2023-07-21,31,한 페이지가 될 수 있게,DAY6 (데이식스)
2023-07-21,32,Teddy Bear,STAYC(스테이씨)
2023-07-21,33,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
2023-07-21,34,Thirsty,aespa
2023-07-21,35,Roller Coaster,NMIXX
2023-07-21,36,ANTIFRAGILE,LE SSERAFIM (르세라핌)
2023-07-21,37,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
2023-07-21,38,ISTJ,NCT DREAM
2023-07-21,39,When I Get Old,Christopher(크리스토퍼)
2023-07-21,40,KNOCK,이채연
2023-07-21,41,Allergy,(여자)아이들
2023-07-21,42,예뻤어 (여름날 우리 X 김민석 (멜로망스)),김민석 (멜로망스)
2023-07-21,43,Summer (Feat. BE’O (비오)),Paul Blanco
2023-07-21,44,사랑인가 봐,멜로망스(MeloMance)
2023-07-21,45,심(心),DK(디셈버)
2023-07-21,46,That's Hilarious,Charlie Puth(찰리 푸스)
2023-07-21,47,주저하는 연인들을 위해,잔나비
2023-07-21,48,오르트구름,윤하(Younha/ユンナ)
2023-07-21,49,너의 모든 순간,성시경
2023-07-21,50,Shut Down,BLACKPINK
2023-07-21,51,Cookie,NewJeans
2023-07-21,52,STAY,The Kid LAROI
2023-07-21,53,ELEVEN,IVE (아이브)
2023-07-21,54,여름날 (feat. 하현상),볼빨간사춘기
2023-07-21,55,SOS,강다니엘(KANG DANIEL)
2023-07-21,56,TOMBOY,(여자)아이들
2023-07-21,57,빛이 나는 너에게,던 (DAWN)
2023-07-21,58,잠깐 시간 될까,이무진
2023-07-21,59,FEARLESS,LE SSERAFIM (르세라핌)
2023-07-21,60,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
2023-07-21,61,Love Me Like This,NMIXX
2023-07-21,62,다정히 내 이름을 부르면,경서예지
2023-07-21,63,그라데이션,10CM
2023-07-21,64,Off My Face,Justin Bieber(저스틴 비버)
2023-07-21,65,Cream Soda,EXO
2023-07-21,66,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2023-07-21,67,INVU,태연 (TAEYEON)
2023-07-21,68,취중고백,김민석 (멜로망스)
2023-07-21,69,특,Stray Kids (스트레이 키즈)
2023-07-21,70,Dynamite,방탄소년단
2023-07-21,71,사실말야내가말야그게그러니까말이야,케이시
2023-07-21,72,Still With You,정국
2023-07-21,73,Monologue,테이(Tei)
2023-07-21,74,사랑은 늘 도망가,임영웅
2023-07-21,75,Candy,NCT DREAM
2023-07-21,76,Pink Venom,BLACKPINK
2023-07-21,77,Nxde,(여자)아이들
2023-07-21,78,찬란한 하루,멜로망스(MeloMance)
2023-07-21,79,해요 (2022),#안녕
2023-07-21,80,물론,허각
2023-07-21,81,나의 X에게,경서
2023-07-21,82,나에게 그대만이,탑현
2023-07-21,83,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
2023-07-21,84,나의 바람 (Wind And Wish),비투비
2023-07-21,85,Heaven(2023),임재현
2023-07-21,86,도깨비불 (Illusion),aespa
2023-07-21,87,WHEN I MOVE,카라(Kara)
2023-07-21,88,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2023-07-21,89,부동의 첫사랑,10CM
2023-07-21,90,사랑의 바보,제이세라(J-Cera)
2023-07-21,91,Broken Melodies,NCT DREAM
2023-07-21,92,CHRISTIAN,지올팍(Zior Park)
2023-07-21,93,strawberry moon,아이유(IU)
2023-07-21,94,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
2023-07-21,95,드라마,아이유(IU)
2023-07-21,96,Salty & Sweet,aespa
2023-07-21,97,한강에서 (Feat. BIG Naughty),폴킴(Paul Kim)
2023-07-21,98,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
2023-07-21,99,Feel My Rhythm,Red Velvet (레드벨벳)
2023-07-21,100,VIBE (feat. Jimin of BTS),태양
2023-07-22,1,Super Shy,NewJeans
2023-07-22,2,ETA,NewJeans
2023-07-22,3,New Jeans,NewJeans
2023-07-22,4,Seven (feat. Latto) - Clean Ver.,정국
2023-07-22,5,Cool With You,NewJeans
2023-07-22,6,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2023-07-22,7,I AM,IVE (아이브)
2023-07-22,8,퀸카 (Queencard),(여자)아이들
2023-07-22,9,헤어지자 말해요,박재정
2023-07-22,10,ASAP,NewJeans
2023-07-22,11,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
2023-07-22,12,Spicy,aespa
2023-07-22,13,Hype Boy,NewJeans
2023-07-22,14,Kitsch,IVE (아이브)
2023-07-22,15,Ditto,NewJeans
2023-07-22,16,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
2023-07-22,17,Attention,NewJeans
2023-07-22,18,OMG,NewJeans
2023-07-22,19,손오공,세븐틴(SEVENTEEN)
2023-07-22,20,After LIKE,IVE (아이브)
2023-07-22,21,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2023-07-22,22,사건의 지평선,윤하(Younha/ユンナ)
2023-07-22,23,LOVE DIVE,IVE (아이브)
2023-07-22,24,Cupid,FIFTY FIFTY
2023-07-22,25,Seven (feat. Latto) - Explicit Ver.,정국
2023-07-22,26,꽃,지수(JISOO)
2023-07-22,27,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
2023-07-22,28,Underwater,권은비
2023-07-22,29,Dangerously,Charlie Puth(찰리 푸스)
2023-07-22,30,한 페이지가 될 수 있게,DAY6 (데이식스)
2023-07-22,31,HARD,SHINee (샤이니)
2023-07-22,32,Teddy Bear,STAYC(스테이씨)
2023-07-22,33,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
2023-07-22,34,Thirsty,aespa
2023-07-22,35,ANTIFRAGILE,LE SSERAFIM (르세라핌)
2023-07-22,36,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
2023-07-22,37,예뻤어 (여름날 우리 X 김민석 (멜로망스)),김민석 (멜로망스)
2023-07-22,38,Roller Coaster,NMIXX
2023-07-22,39,주저하는 연인들을 위해,잔나비
2023-07-22,40,When I Get Old,Christopher(크리스토퍼)
2023-07-22,41,KNOCK,이채연
2023-07-22,42,Allergy,(여자)아이들
2023-07-22,43,심(心),DK(디셈버)
2023-07-22,44,사랑인가 봐,멜로망스(MeloMance)
2023-07-22,45,Summer (Feat. BE’O (비오)),Paul Blanco
2023-07-22,46,That's Hilarious,Charlie Puth(찰리 푸스)
2023-07-22,47,너의 모든 순간,성시경
2023-07-22,48,오르트구름,윤하(Younha/ユンナ)
2023-07-22,49,STAY,The Kid LAROI
2023-07-22,50,ISTJ,NCT DREAM
2023-07-22,51,Cookie,NewJeans
2023-07-22,52,여름날 (feat. 하현상),볼빨간사춘기
2023-07-22,53,잠깐 시간 될까,이무진
2023-07-22,54,ELEVEN,IVE (아이브)
2023-07-22,55,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
2023-07-22,56,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2023-07-22,57,빛이 나는 너에게,던 (DAWN)
2023-07-22,58,Shut Down,BLACKPINK
2023-07-22,59,Off My Face,Justin Bieber(저스틴 비버)
2023-07-22,60,TOMBOY,(여자)아이들
2023-07-22,61,그라데이션,10CM
2023-07-22,62,다정히 내 이름을 부르면,경서예지
2023-07-22,63,INVU,태연 (TAEYEON)
2023-07-22,64,FEARLESS,LE SSERAFIM (르세라핌)
2023-07-22,65,취중고백,김민석 (멜로망스)
2023-07-22,66,사실말야내가말야그게그러니까말이야,케이시
2023-07-22,67,Dynamite,방탄소년단
2023-07-22,68,Still With You,정국
2023-07-22,69,Candy,NCT DREAM
2023-07-22,70,Pink Venom,BLACKPINK
2023-07-22,71,사랑은 늘 도망가,임영웅
2023-07-22,72,특,Stray Kids (스트레이 키즈)
2023-07-22,73,해요 (2022),#안녕
2023-07-22,74,Cream Soda,EXO
2023-07-22,75,Love Me Like This,NMIXX
2023-07-22,76,나의 X에게,경서
2023-07-22,77,Monologue,테이(Tei)
2023-07-22,78,SOS,강다니엘(KANG DANIEL)
2023-07-22,79,물론,허각
2023-07-22,80,Nxde,(여자)아이들
2023-07-22,81,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
2023-07-22,82,나의 바람 (Wind And Wish),비투비
2023-07-22,83,나에게 그대만이,탑현
2023-07-22,84,찬란한 하루,멜로망스(MeloMance)
2023-07-22,85,Heaven(2023),임재현
2023-07-22,86,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2023-07-22,87,도깨비불 (Illusion),aespa
2023-07-22,88,드라마,아이유(IU)
2023-07-22,89,사랑의 바보,제이세라(J-Cera)
2023-07-22,90,CHRISTIAN,지올팍(Zior Park)
2023-07-22,91,strawberry moon,아이유(IU)
2023-07-22,92,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
2023-07-22,93,WHEN I MOVE,카라(Kara)
2023-07-22,94,한강에서 (Feat. BIG Naughty),폴킴(Paul Kim)
2023-07-22,95,부동의 첫사랑,10CM
2023-07-22,96,Feel My Rhythm,Red Velvet (레드벨벳)
2023-07-22,97,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
2023-07-22,98,Salty & Sweet,aespa
2023-07-22,99,Broken Melodies,NCT DREAM
2023-07-22,100,VIBE (feat. Jimin of BTS),태양
2023-07-23,1,ETA,NewJeans
2023-07-23,2,Super Shy,NewJeans
2023-07-23,3,New Jeans,NewJeans
2023-07-23,4,Seven (feat. Latto) - Clean Ver.,정국
2023-07-23,5,Cool With You,NewJeans
2023-07-23,6,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2023-07-23,7,I AM,IVE (아이브)
2023-07-23,8,퀸카 (Queencard),(여자)아이들
2023-07-23,9,헤어지자 말해요,박재정
2023-07-23,10,ASAP,NewJeans
2023-07-23,11,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
2023-07-23,12,Spicy,aespa
2023-07-23,13,Kitsch,IVE (아이브)
2023-07-23,14,Hype Boy,NewJeans
2023-07-23,15,Ditto,NewJeans
2023-07-23,16,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
2023-07-23,17,Attention,NewJeans
2023-07-23,18,Seven (feat. Latto) - Explicit Ver.,정국
2023-07-23,19,손오공,세븐틴(SEVENTEEN)
2023-07-23,20,OMG,NewJeans
2023-07-23,21,After LIKE,IVE (아이브)
2023-07-23,22,Underwater,권은비
2023-07-23,23,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2023-07-23,24,LOVE DIVE,IVE (아이브)
2023-07-23,25,Cupid,FIFTY FIFTY
2023-07-23,26,사건의 지평선,윤하(Younha/ユンナ)
2023-07-23,27,Dangerously,Charlie Puth(찰리 푸스)
2023-07-23,28,꽃,지수(JISOO)
2023-07-23,29,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
2023-07-23,30,HARD,SHINee (샤이니)
2023-07-23,31,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
2023-07-23,32,Summer (Feat. BE’O (비오)),Paul Blanco
2023-07-23,33,한 페이지가 될 수 있게,DAY6 (데이식스)
2023-07-23,34,Teddy Bear,STAYC(스테이씨)
2023-07-23,35,Thirsty,aespa
2023-07-23,36,예뻤어 (여름날 우리 X 김민석 (멜로망스)),김민석 (멜로망스)
2023-07-23,37,ANTIFRAGILE,LE SSERAFIM (르세라핌)
2023-07-23,38,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
2023-07-23,39,KNOCK,이채연
2023-07-23,40,Roller Coaster,NMIXX
2023-07-23,41,When I Get Old,Christopher(크리스토퍼)
2023-07-23,42,주저하는 연인들을 위해,잔나비
2023-07-23,43,Allergy,(여자)아이들
2023-07-23,44,사랑인가 봐,멜로망스(MeloMance)
2023-07-23,45,심(心),DK(디셈버)
2023-07-23,46,ISTJ,NCT DREAM
2023-07-23,47,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
2023-07-23,48,That's Hilarious,Charlie Puth(찰리 푸스)
2023-07-23,49,너의 모든 순간,성시경
2023-07-23,50,여름날 (feat. 하현상),볼빨간사춘기
2023-07-23,51,오르트구름,윤하(Younha/ユンナ)
2023-07-23,52,STAY,The Kid LAROI
2023-07-23,53,Cookie,NewJeans
2023-07-23,54,Shut Down,BLACKPINK
2023-07-23,55,ELEVEN,IVE (아이브)
2023-07-23,56,그라데이션,10CM
2023-07-23,57,Still With You,정국
2023-07-23,58,잠깐 시간 될까,이무진
2023-07-23,59,빛이 나는 너에게,던 (DAWN)
2023-07-23,60,사실말야내가말야그게그러니까말이야,케이시
2023-07-23,61,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2023-07-23,62,다정히 내 이름을 부르면,경서예지
2023-07-23,63,TOMBOY,(여자)아이들
2023-07-23,64,Off My Face,Justin Bieber(저스틴 비버)
2023-07-23,65,Pink Venom,BLACKPINK
2023-07-23,66,Cream Soda,EXO
2023-07-23,67,Love Me Like This,NMIXX
2023-07-23,68,취중고백,김민석 (멜로망스)
2023-07-23,69,FEARLESS,LE SSERAFIM (르세라핌)
2023-07-23,70,INVU,태연 (TAEYEON)
2023-07-23,71,특,Stray Kids (스트레이 키즈)
2023-07-23,72,Monologue,테이(Tei)
2023-07-23,73,사랑은 늘 도망가,임영웅
2023-07-23,74,SOS,강다니엘(KANG DANIEL)
2023-07-23,75,Dynamite,방탄소년단
2023-07-23,76,나의 X에게,경서
2023-07-23,77,물론,허각
2023-07-23,78,Candy,NCT DREAM
2023-07-23,79,나의 바람 (Wind And Wish),비투비
2023-07-23,80,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2023-07-23,81,Nxde,(여자)아이들
2023-07-23,82,Heaven(2023),임재현
2023-07-23,83,나에게 그대만이,탑현
2023-07-23,84,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
2023-07-23,85,찬란한 하루,멜로망스(MeloMance)
2023-07-23,86,사막에서 꽃을 피우듯,우디(Woody)
2023-07-23,87,해요 (2022),#안녕
2023-07-23,88,도깨비불 (Illusion),aespa
2023-07-23,89,사랑의 바보,제이세라(J-Cera)
2023-07-23,90,드라마,아이유(IU)
2023-07-23,91,strawberry moon,아이유(IU)
2023-07-23,92,한강에서 (Feat. BIG Naughty),폴킴(Paul Kim)
2023-07-23,93,CHRISTIAN,지올팍(Zior Park)
2023-07-23,94,부동의 첫사랑,10CM
2023-07-23,95,Left and Right (Feat. Jung Kook of BTS),Charlie Puth(찰리 푸스)
2023-07-23,96,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
2023-07-23,97,WHEN I MOVE,카라(Kara)
2023-07-23,98,Salty & Sweet,aespa
2023-07-23,99,Feel My Rhythm,Red Velvet (레드벨벳)
2023-07-23,100,Dance The Night (From Barbie The Album),Dua Lipa(두아 리파)
